TRACK_ID,TOTAL_STREAM,DAILY_STREAM,DATE,PREVIOUS_DAILY_STREAM
2ZoOmCSgj0ypVAmGd1ve4y,31116485,23512.0,2024-01-01,0.0
5OOd01o2YS1QFwdpVLds3r,31218876,22585.0,2024-01-01,0.0
5AsmAjBSSQjRPWgAYIp8tm,31515194,2487.0,2024-01-01,0.0
51A8eKvvZz9uydvIZ7xRSV,31858377,26332.0,2024-01-01,0.0
2Ta5c5Z6DvM8GX0U1polSo,32176291,20547.0,2024-01-01,0.0
5RaBeejGtdPEszYEKYECs2,32979921,21124.0,2024-01-01,0.0
1Fj0T1XKuhRu7EZzJ7NJIK,35056057,24531.0,2024-01-01,0.0
3oF7Or7T35yhQbGxbCGvRX,35287440,25166.0,2024-01-01,0.0
1n2wszmJyVkw6FHqyLnQsY,35389641,28707.0,2024-01-01,0.0
6qAcApH8obo8eqatCKUHd9,36426046,196245.0,2024-01-01,0.0
0UAdDYrkCvVQftaKpL6q5f,36449641,33592.0,2024-01-01,0.0
73OX8GdpOeGzKC6OvGSbsv,36710199,28799.0,2024-01-01,0.0
3rnI1UCyGJvUTVvT97VQr5,30421208,5634.0,2024-01-01,0.0
4WXzzCof26KJLTK5kK53dS,47712722,8982.0,2024-01-01,0.0
7yndkPYP6YQQLBpPsizDfh,6539662,2591.0,2024-01-01,0.0
36a08nLG1xazGaaVKK0vv7,6360815,5834.0,2024-01-01,0.0
2GZI4YxTKT07KaQZAMmz5N,242941,80.0,2024-01-01,0.0
3Aelp7PlkDvBvCPqvyIopZ,243558,90.0,2024-01-01,0.0
4CWLOxjskk6fjixCboD4vJ,243674,922.0,2024-01-01,0.0
0ruvufCIGCWaf67Tb8R64O,243945,185.0,2024-01-01,0.0
0C5x4DoaPegrWqchk4SuLu,244807,76.0,2024-01-01,0.0
0MtU9ETYyVX8YPBDCYPdMb,245414,142.0,2024-01-01,0.0
6bzWVosI1yQkHUrN22cMWE,248755,92.0,2024-01-01,0.0
