TRACK_ID,TRACK_NAME,ALBUM_ID,TRACK_RELEASE_DATE,TRACK_COVER
2CnjDMdpRjlWv04Xk3s6MW,Robin,5H7ixXZfsNMGbIE5OBSpcb,2024-04-19,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa
6PPbs1c7f7Ove5JHUPmNZ2,"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""",59YCk9wEnWWopdzu4Yh1dJ,2019-11-15,https://i.scdn.co/image/ab67616d0000b273c81d7a321a00c1e04df060b8
1J22bFnVC6Rmjxby941PDf,The Lucky One - Commentary,4jTYApZPMapg56gRycOn0D,2012-10-22,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec
7qEZxkMEdl1wlJKsodGYdR,The Manuscript,1d8W5sDOh6xY7y6UYp2rcg,2024-04-19,https://i.scdn.co/image/ab67616d0000b273335d581b7a70f0fa41f6520b
2NIBaWXdjaTDmytjjwbEfP,Eyes Open (Taylor's Version),6AeF9IkXFpHz5H3wUNX3L3,2021-11-12,https://i.scdn.co/image/ab67616d0000b273d5cc403148a5161b4561cf61
3RauEVgRgj1IuWdJ9fDs70,The Man,1NAmidJlEaVgA3MpcPFYGq,2019-08-23,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
5BK0uqwY9DNfZ630STAEaq,gold rush,2Xoteh7uEpea4TohMxjtaq,2020-12-11,https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be
28M2gifMU282QBM3fKajIS,Haunted,5MfAxS5zz8MlfROjGQVXhy,2010-10-25,https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015
6RvRzl1YJTDnUvdOtV21IK,Wonderland,1yGbNOtRIgdIiGHOEBaZWf,2014-01-01,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a
4dYUOfmWna6DFccnz732n8,How You Get The Girl,2QJmrSgbdM35R67eoGQo4j,2014-10-27,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
3oF7Or7T35yhQbGxbCGvRX,Death By A Thousand Cuts - Live From Paris,5nDpkszadFMGW6ZSYM9Q1V,2020-05-17,https://i.scdn.co/image/ab67616d0000b2737864c044d3fa4ac3814ca667
0ruvufCIGCWaf67Tb8R64O,Enchanted - Instrumental With Background Vocals,3QXlUpSDgakWZK2WqQv0pF,2010-10-25,https://i.scdn.co/image/ab67616d0000b27366271168cb30f17767b1f410
1dhMTsEZz6ZEquGvmzVoHn,The Alchemy,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
1n3b9Eekoy3S9ZSZ5DmTW1,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,4qgs0gHJBgycj5SKqafFOB,2021-11-18,https://i.scdn.co/image/ab67616d0000b27370f88b5ee2da16d3f3929fea
3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,2023-10-26,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
3fGnrtrtL1IHSX9t4DKOYf,Cornelia Street - Live From Paris,4CF0YV0iNyfKoDt9jHbGj7,2020-05-18,https://i.scdn.co/image/ab67616d0000b273eec5bf14fcf7c92ec8166027
0xvsgzM8AtBtRHZm5rav8A,The Other Side Of The Door,43OpbkiiIxJO8ktIB777Nn,2008-11-11,https://i.scdn.co/image/ab67616d0000b27334e5885465afc8a497ac1b7e
1wtOxkiel43cVs0Yux5Q4h,Snow On The Beach (feat. Lana Del Rey),151w1FgRZfnKZA9FEcg9Z3,2022-10-21,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
4CWLOxjskk6fjixCboD4vJ,Shake It Off - Commentary,6EsTJnpahwW6xX20zvqQgZ,2014-10-27,https://i.scdn.co/image/ab67616d0000b2730432bfd9e6adb616fd8bcc97
4VbErhGDMTnvPAnt5z70DL,You're Not Sorry - CSI Remix,5sZIjREu3s225wwqJkgsYV,2020-02-07,https://i.scdn.co/image/ab67616d0000b273e8ae61ef7ff5c29b9f84828f
