song_urls,song_ids,song_streams,song_daily
https://open.spotify.com/track/06WgOCf0LV2h4keYXDRnuh,06WgOCf0LV2h4keYXDRnuh,174789980,237791
https://open.spotify.com/track/2ythurkTtSiyfK7GprJoFW,2ythurkTtSiyfK7GprJoFW,174199234,109397
https://open.spotify.com/track/77sMIMlNaSURUAXq5coCxE,77sMIMlNaSURUAXq5coCxE,173834003,562462
https://open.spotify.com/track/07NxDD1iKCHbAldceD7QLP,07NxDD1iKCHbAldceD7QLP,172342925,219519
https://open.spotify.com/track/2QDyYdZyhlP2fp79KZX8Bi,2QDyYdZyhlP2fp79KZX8Bi,170096482,165501
https://open.spotify.com/track/4CkgMiMqZ5JzW9iYXSTMTL,4CkgMiMqZ5JzW9iYXSTMTL,168986259,195686
https://open.spotify.com/track/6d9IiDcFxtFVIvt9pCqyGH,6d9IiDcFxtFVIvt9pCqyGH,168468454,71009
https://open.spotify.com/track/19CSr8rwW05VJL2F91KFNK,19CSr8rwW05VJL2F91KFNK,167082586,201349
https://open.spotify.com/track/7MbT4I8qGntX4fMdqMQgke,7MbT4I8qGntX4fMdqMQgke,165439578,162256
https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B,01K4zKU104LyJ8gMb7227B,165085249,199153
https://open.spotify.com/track/3O5osWf1rSoKMwe6E9ZaXP,3O5osWf1rSoKMwe6E9ZaXP,162879185,192223
https://open.spotify.com/track/3z6XUommYDWPHeFhmhhT6j,3z6XUommYDWPHeFhmhhT6j,157504039,136543
https://open.spotify.com/track/6xsEAm6w9oMQYYg3jkEkMT,6xsEAm6w9oMQYYg3jkEkMT,157414656,150615
https://open.spotify.com/track/32mVHdy0bi1XKgr0ajsBlG,32mVHdy0bi1XKgr0ajsBlG,155340244,182777
https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP,6N1K5OVVCopBjGViHs2IvP,154485416,107820
https://open.spotify.com/track/2o2sgVJIgFXk8GQjWTgI6U,2o2sgVJIgFXk8GQjWTgI6U,154036105,160528
https://open.spotify.com/track/4dYUOfmWna6DFccnz732n8,4dYUOfmWna6DFccnz732n8,150422951,204217
https://open.spotify.com/track/08fa9LFcFBTcilB3iq2e2A,08fa9LFcFBTcilB3iq2e2A,148996982,132420
https://open.spotify.com/track/4d1CG5ei1E2vGbvmgf5KKv,4d1CG5ei1E2vGbvmgf5KKv,148627654,205210
https://open.spotify.com/track/6MWoRt97mnSTXZhu3ggi9C,6MWoRt97mnSTXZhu3ggi9C,147697985,141991
https://open.spotify.com/track/7F5oktn5YOsR9eR5YsFtqb,7F5oktn5YOsR9eR5YsFtqb,147326581,163489
https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ,73YUReisjb3A9ActdLLjJQ,146642323,146635
https://open.spotify.com/track/12ntTeqEeTg7GAVpe8Mhpl,12ntTeqEeTg7GAVpe8Mhpl,145553384,207059
https://open.spotify.com/track/3RBluWmSoG2pGA1OePzGJI,3RBluWmSoG2pGA1OePzGJI,144328533,44383
https://open.spotify.com/track/3k7ne7VmH43ZPWxPdvPUgR,3k7ne7VmH43ZPWxPdvPUgR,141614988,153095
https://open.spotify.com/track/1XjHRolIXL2M1EEOUsGGR4,1XjHRolIXL2M1EEOUsGGR4,140600092,178015
https://open.spotify.com/track/7712gjoih4QoDbXpljEk21,7712gjoih4QoDbXpljEk21,139890616,179812
https://open.spotify.com/track/5PxFv9yJEg9dxvbZggykro,5PxFv9yJEg9dxvbZggykro,137369750,165017
https://open.spotify.com/track/3wmN11qXGL0HyPojvEE1D9,3wmN11qXGL0HyPojvEE1D9,135760751,219624
https://open.spotify.com/track/0BiqmkasE5FdrChwKfVp8X,0BiqmkasE5FdrChwKfVp8X,135286861,173341
https://open.spotify.com/track/5kHMfzgLZP95O9NBy0ku4v,5kHMfzgLZP95O9NBy0ku4v,134452246,885289
https://open.spotify.com/track/7hZuICN5eaCuQyp443RCt6,7hZuICN5eaCuQyp443RCt6,134256112,38892
https://open.spotify.com/track/24DefNCFiWTP8OjYWiXuYe,24DefNCFiWTP8OjYWiXuYe,133704194,64907
https://open.spotify.com/track/670fUmXf4KQekzbEgaXyPA,670fUmXf4KQekzbEgaXyPA,132816670,171119
https://open.spotify.com/track/6pYNq0ZwpPVazKzsqpf0G8,6pYNq0ZwpPVazKzsqpf0G8,130759466,172299
https://open.spotify.com/track/6iWMI5oOhWrDbLbjmwTWFq,6iWMI5oOhWrDbLbjmwTWFq,130648791,238866
