track_id,popularity
00vJzaoxM3Eja1doBUhX0P,41
22C0JIVhFaczZ4t9heqREN,45
7APTsjmZbj7TFXQJAiRti4,35
4V9NuhKQcUFt4cgbynHV79,39
4hCZk6WJBFQeG3P7WsyntI,35
7eGeUVeCEvEQrivmjl9Qn3,37
7qGr3rjRhndRIpFUA5f2HJ,42
2P5gfMtCcKP0CkmgqFMyPg,41
2o2IVjuqRkR9hJxtPjtAP0,42
55n9yjI6qqXh5F2mYvUc2y,82
5rcHBt2aNcGFWW0jaAUe1L,39
3aSYZ4upQ6OSNos26YeVWL,39
41T04yafZVrjNq2FqvLtId,55
0H2UD0LfSCiRr59YMGlCuS,35
6FmJKLpyCt42nP2IOVEVc2,39
5h2sBwpUSAndjObfU3ti2r,37
0YRGTdfmJPALpglAaraYUr,34
6CB7DczrX9ZJB9Wkjegmaq,36
1UPDfqsVIZLEiZeMuUsni2,35
0r3U7SOcoj4DIEyN44Lt5z,33
40PXEOFLJc7UIpLMrhSfW1,34
3YLA3NgzFRRa7LiHMtFPby,39
43sE2O3skbGBpT2tO6fzv9,36
5lg33MHs1BoUtJVClw8ZpI,48
5PSOWHll3h3Vy226xSJk0M,32
0V3SNHDka1JSCP71HAzpxw,37
0GmfiNHSgkKamYgQEMYOH3,41
5hiqtrACtMJkNpaNHj0n9Z,34
2RSYYe7LhKFxIi50T5XtUo,33
64KRxmbqypPBlya4nxFmDn,34
24ksPWXKg1k7OOG57pufED,33
0kqC185OTcnuhbz4T7g5RB,33
3oxgFdIlxFEDEJqn7k5TVN,36
3EXetjrGgwIjDRNn6YA8sa,37
5zytSTR2g0I9psX2Z12ex6,32
2G679wnKfyhUOeNx910OXg,33
4qNEi8zGIYLiMtoW8OaJdx,33
2fF3QzbGCrtrDXIdWcg1mv,35
0QCS4NpURHvWdF1icdkfBw,33
0TYJbIHBtmWy9ugtU9BcbE,32
1XLc4irbX7oQSneh6gWv3O,36
0eTCaVOYLpJlSkbEi2jay4,42
4RMfSYDFkcz0bKoK8fHDgR,33
6Py8IKZqDyU8aQVrjilbJw,35
7txpzmA69zyk50K3ZyZSzC,33
3qGLcmO0XnnrcpAQGZwTvA,37
33Kq0AT5rvwyE4azisG08x,65
2sC2P3BN0IXujNaaSyDmtP,67
1fo2ctLqj3zBhRQKOXprol,71
6Nde5KuTXyB7jlPO4upaBo,68
0lmMtDQ2ElasKU2qDAE6NN,66
3fthfkkvy9av3q3uAGVf7U,65
1B5VzXPqMlvRw0U4HJY3dJ,70
0yN4fNzmVnmgC0dsOoi9Wh,65
106R7Z57WYzBAfrXImV30y,63
6wfugRLamFsTRbPcCpNnP7,69
1kTPQnabROVkW9bUXdCGrB,62
2zfgVd034GlUvk7LqBHl6u,68
4bXCcoesMt8u99xMsbLr9U,70
6iWMI5oOhWrDbLbjmwTWFq,71
4A2LfnduSTsE8u0ecYROxE,71
6rZVy6FIG7lSJQMFXHo12z,75
4JQm7ebhsrt10wmrP6AfXL,53
4TtyvyI42C0KFnbDZvNC8Y,50
0yisH8r0f3Mkq34kjzUlCV,50
