TRACK_ID,YESTERDAY_STREAM,TOTAL_STREAM,TODAY_STREAM
5xXqyjLicvEpch72qEryFT,123097,67186399,219817
1zU8j1x3yi9xalMF96pzKp,156084,67011567,243882
5P4wWhUYWM0IaVYLuZxdar,13637,66321417,23925
1Iq8oo9XkmmvCQiGOfORiz,3275890,66110778,4747667
49mWEy5MgtNujgT7xU3emT,10129,65914291,14680
7eResoqEJJAVTkQYSqvO3P,53418,65491378,74192
4L9QDCVNWIFhf2yr8iMvzA,5320,64681781,11824
4e5ayHsOLJNLTGfjau2mEw,28915,63966545,78149
4Ar3jciiuPXAMGjQpMWo34,4242,60531660,10102
30Y4CV7A6YqtQtTTo7Ue4j,98620,60493704,224138
6dTA6y0C2ReQklntzZl8l3,71136,60078048,222302
5gl2F1AWDQlUFzXwA4uY72,4158,59332454,10943
5eGX87IiKsGuzS3iw4CfCX,34438,58805034,44725
3fGnrtrtL1IHSX9t4DKOYf,19884,58624219,62139
6iiAfo4wTA2CVC3Uwx9uh8,46440,58270289,76132
1cSFlSBdpT4F5vb1frQ231,33247,58176022,63938
0NRHj8hDwwmSPaA41o379r,29640,58158999,76000
4s8BIKx4Zh6ryAEz8RTlaU,62751,57986489,196097
4uuEGH5SVuzkkSFjo2DEiY,30579,57703869,78409
7A2cNLRT0YJc1yjxHlKihs,47526,57668956,76655
4e3ZNTAV6PCrdYMUrUlMpQ,65076,56897603,175882
4axSuOg3BqsowKjRpj59RU,23243,56867158,68362
4ABYxlb92WBIjHu7TIKmml,73443,56216757,166917
5KD6AEm19QnMbfWpfoOHMl,1292000,55894629,3400000
5A4PQqcpYb0vD1zx5DlObS,4190,55693195,9745
0zo975x58DlXbZllWvfYhg,70592,55677445,160437
7HC7R2D8WjXVcUHJyEGjRs,33057,54729996,66115
6xlCHgsZanRIBaS3yokshA,4045,53814361,8794
1HCdems7PQZRj42QDWLA0A,147955,53205839,197274
5iZzl5YlcJaEZjFCcv9j2h,3632,52920891,8255
71BqAINEnezjQfxE4VuJfq,845831,51896185,2819437
47HtKpfzpAt8rQjjXWotFj,10041,51471609,13041
0fAbfDiuQiUwV7FUcFfRGY,6993,50257953,10928
5GPwN5iZ9ZMSXAkppj4Uvv,8408,50102830,11679
34V9RiEPe8MNdU32qJsJa1,19798,49175587,63867
4NioO5R9sHEZh4cGzMHyNt,1270196,48794087,2490581
0DMVrlMUn01M0IcpDbwgu7,32512,48459580,59114
7wjbSn8QHsxqKXU5M0jXGM,5315,48336869,10423
4tMzIAFTFdqGBQLdfbPces,128897,48273331,181546
0q6vsjvnCIWrtwRckCV7y0,76061,48176180,133442
59KOoHFcw5XfICnO57holu,104254,47480738,176703
4WXzzCof26KJLTK5kK53dS,3785,47088633,12617
0k0vFacOHNuArLWMiH60p7,32109,46998952,54423
4qUijfYU8EoIWiY6oSyrgT,46899,45606778,60128
0tQ9vBYpldCuikPsbgOVKA,32067,45063946,57263
2m3ObD945KvpE5y9A1eUWm,39053,44874053,61990
0HmCuN0Z3OX1Qrz43FLOPL,4980,44419471,10376
1hjRhYpWyqDpPahmSlUTlc,1109118,43920951,1980568
7vBlnGdfOLzVEqiOQQxeU8,5579,43674753,15080
5jAIouBES8LWMiriuNq170,40438,43484550,55395
2JoJrsEV15OzbijS47lids,33881,43378383,52940
0JIdBrXGSJXS72zjF9ss9u,23125,43047437,42047
3m4mW6nG5V94FkGBE1YvRG,3983,42714994,7113
6ON9UuIq49xXY9GPmHIYRp,28184,42452402,53178
01QdEx6kFr78ZejhQtWR5m,40100,42406459,50125
2D1BGzlocoxwNBBf2nMwMk,2590,42324794,7401
0vvt4IZOMkRug195S4MUq0,5455,41822785,12124
645Exr2lJIO45Guht3qyIa,36425,41543132,93398
5hiqtrACtMJkNpaNHj0n9Z,2656,41149454,7813
1n3b9Eekoy3S9ZSZ5DmTW1,24831,39499653,60565
2Sy2oGjP5RYB4cLVoDU0Gz,11110,38799155,23146
5qD1xj5lXOaX1ZDpVKZeF3,3573,38725689,6269
45wMBGri1PORPjM9PwFfrS,628173,37846602,1653089
2QrQCMel6v2JiLxqrg4p2O,29548,37809411,41618
3esA216TyLHEkNiBCeCmcg,4564,37780719,11704
2EFZ9emtKWEglWUQGEQ3P9,39572,37493634,116389
7N015NTIWGjQDddHUdHPoO,34257,37460334,47580
